Period,Ngày nhập kho,Mã HS,Prod code,Sale code,ACTUAL QTY,Ghi chú
2026-04,2026-04-15 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,-1,
2026-04,2026-04-15 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,-4,
2026-04,2026-04-15 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,-8,
2026-04,2026-04-15 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,-11,
2026-04,2026-04-15 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,-8,
2026-04,2026-04-16 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
2026-04,2026-04-16 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,999,
2026-04,2026-04-16 00:00:00,EAD63954790,EAD63954790-I,EAD63954790-I,300,
2026-04,2026-04-16 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,2000,
2026-04,2026-04-16 00:00:00,EAD64169023,EAD64169023-I,EAD64169023-I,750,
2026-04,2026-04-16 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1000,
2026-04,2026-04-16 00:00:00,EAD63913529,EAD63913529-I,EAD63913529-I,100,
2026-04,2026-04-16 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,490,
2026-04,2026-04-17 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,992,
2026-04,2026-04-17 00:00:00,EAD64149412,EAD64149412-T,EAD64149412-T,998,
2026-04,2026-04-17 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-17 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,1998,
2026-04,2026-04-17 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,2000,
2026-04,2026-04-17 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,460,
2026-04,2026-04-17 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,499,
2026-04,2026-04-18 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,1000,
2026-04,2026-04-18 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-18 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,4000,
2026-04,2026-04-18 00:00:00,EAD63911418,EAD63911418-I,EAD63911418-I,498,
2026-04,2026-04-18 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1800,
2026-04,2026-04-18 00:00:00,EAD62061319,EAD62061319-T,EAD62061319-T,999,
2026-04,2026-04-18 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,2000,
2026-04,2026-04-18 00:00:00,EAD64545339-A,EAD64545339-A-I,EAD64545339-A-I,100,
2026-04,2026-04-18 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,200,
2026-04,2026-04-18 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,980,
2026-04,2026-04-18 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,497,
2026-04,2026-04-20 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-20 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,4000,
2026-04,2026-04-20 00:00:00,EAD61212398V1,EAD61212398-T1,EAD61212398-T,2021,
2026-04,2026-04-20 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-20 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,598,
2026-04,2026-04-20 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-20 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,268,
2026-04,2026-04-20 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,496,
2026-04,2026-04-20 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,600,
2026-04,2026-04-20 00:00:00,EAD64149412,EAD64149412-T,EAD64149412-T,1000,
2026-04,2026-04-20 00:00:00,EAD61212389,EAD61212389-T,EAD61212389-T,100,
2026-04,2026-04-20 00:00:00,EAD64169033,EAD64169033-I,EAD64169033-I,100,
2026-04,2026-04-20 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,999,
2026-04,2026-04-21 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,500,
2026-04,2026-04-21 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-21 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,4000,
2026-04,2026-04-21 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-21 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,1000,
2026-04,2026-04-21 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,400,
2026-04,2026-04-21 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-21 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,500,
2026-04,2026-04-21 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,600,
2026-04,2026-04-21 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,495,
2026-04,2026-04-21 00:00:00,EAD63954791,EAD63954791-I,EAD63954791-I,1000,
2026-04,2026-04-21 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,2000,
2026-04,2026-04-22 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,-1,
2026-04,2026-04-22 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,-1,
2026-04,2026-04-22 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,-3,
2026-04,2026-04-22 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,-4,
2026-04,2026-04-22 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,-11,
2026-04,2026-04-22 00:00:00,EAD64169033,EAD64169033-I,EAD64169033-I,-1,
2026-04,2026-04-22 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,-2,
2026-04,2026-04-22 00:00:00,EAD63911418,EAD63911418-I,EAD63911418-I,-2,
2026-04,2026-04-22 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,-8,
2026-04,2026-04-22 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,-1,
2026-04,2026-04-22 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,500,
2026-04,2026-04-22 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
2026-04,2026-04-22 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,990,
2026-04,2026-04-22 00:00:00,EAD63954791,EAD63954791-I,EAD63954791-I,1000,
2026-04,2026-04-22 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,4000,
2026-04,2026-04-22 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-22 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,1000,
2026-04,2026-04-22 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,992,
2026-04,2026-04-22 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1200,
2026-04,2026-04-22 00:00:00,7200007556V1,7200007556-I1,7200007556-I,9,
2026-04,2026-04-23 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,500,
2026-04,2026-04-23 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
