Period,Ngày nhập kho,SUB code,Item code,Type,QTY ACTUAL,QTY RETURN,Ghi chú
2026-04,2026-04-02 00:00:00,,TPAX00047NA,MAT,6000,,
2026-04,2026-04-02 00:00:00,,TPAX00001NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00284NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,TPAX00291NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX00234NA,MAT,2000,,
2026-04,2026-04-02 00:00:00,,HOUX01562NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX01563NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX02758NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,HOUX02759NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00572NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00573NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,TPAX00376NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,CORX00081NA,MAT,1000,,
2026-04,2026-04-02 00:00:00,,EAD63911358-C,WIP,1000,,
2026-04,2026-04-02 00:00:00,,EAD63911358-C-TUBA-089,TUB,1000,,
2026-04,2026-04-02 00:00:00,,EAD63911352-C,WIP,527,,
2026-04,2026-04-02 00:00:00,,EAD63911352-C-TUBA-089,TUB,527,,
2026-04,2026-04-03 00:00:00,,EAD65616822-C,WIP,1000,,
2026-04,2026-04-03 00:00:00,,EAD63911348-C,WIP,1000,,
2026-04,2026-04-03 00:00:00,,EAD65616818-C,WIP,1000,,
2026-04,2026-04-03 00:00:00,,EAD64745815-C,WIP,1000,,
2026-04,2026-04-03 00:00:00,,EAD64109903-C,WIP,3000,,
2026-04,2026-04-03 00:00:00,,EAD64587804-C,WIP,3000,,
2026-04,2026-04-03 00:00:00,,EAD63911348-C-TUBA-089,TUB,1000,,
2026-04,2026-04-03 00:00:00,,EAD64745815-C-TUBC-212,TUB,1000,,
2026-04,2026-04-03 00:00:00,,EAD64745815-C-TUBC-214,TUB,1000,,
2026-04,2026-04-03 00:00:00,,BAGA00007NA,MAT,985,,
2026-04,2026-04-03 00:00:00,,HOUX00015NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,HOUX00052NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,HOUX00065NA,MAT,5000,,
2026-04,2026-04-03 00:00:00,,HOUX00211NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00212NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00213NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00627NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00642NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00659NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00850NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01114NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01124NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01127NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01128NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01130NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01131NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01136NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01137NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01139NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01146NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01148NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01149NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01156NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01160NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,HOUX01191NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,HOUX01194NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01195NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01204NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01206NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01210NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01211NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01213NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01215NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01216NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,HOUX01217NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01239NA,MAT,5000,,
2026-04,2026-04-03 00:00:00,,HOUX01251NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01362NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01364NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01566NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,SELA00029NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,SELA00032NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,SELA00035NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,TAPB00003NA,MAT,3780,,
2026-04,2026-04-03 00:00:00,,TAPA00013NA,MAT,10700,,
2026-04,2026-04-03 00:00:00,,TPAX00080NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00101NA,MAT,5000,,
2026-04,2026-04-03 00:00:00,,TPAX00107NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00117NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00142NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00197NA,MAT,6000,,
2026-04,2026-04-03 00:00:00,,TPAX00198NA,MAT,10000,,
2026-04,2026-04-03 00:00:00,,TPAX00199NA,MAT,5000,,
2026-04,2026-04-03 00:00:00,,TPAX00200NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00201NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,TPAX00202NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00203NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,TPAX00205NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00206NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00209NA,MAT,8000,,
2026-04,2026-04-03 00:00:00,,TPAX00215NA,MAT,5000,,
2026-04,2026-04-03 00:00:00,,TPAX00219NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,TPAX00244NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,TPAX00246NA,MAT,1000,,
