Period,Ngày,Ngày tháng,Prod code,Sale code,Item code,TYPE,STOCK IN,Level subcon,Transaction type,QTY,Remark
2026-04,30,2026-04-30 00:00:00,,0,EAD63911352-C-TUBA-089,WIP,CKAL,2,SUB OUT,500,EAD63911352-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01156NA,MAT,CKAL,2,SUB OUT,3000,6850EC3006V-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00013NA,MAT,CKAL,2,SUB OUT,1230,6850EC3006V-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00201NA,MAT,CKAL,2,SUB OUT,6000,6850EC3006V-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00202NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX02758NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX02759NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,SLVB00006NA,MAT,CKAL,2,SUB OUT,8000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00081NA,MAT,CKAL,2,SUB OUT,1240,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00572NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00573NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00065NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00663NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00013NA,MAT,CKAL,2,SUB OUT,180,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00004NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00101NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,CATX00053NA,MAT,CKAL,2,SUB OUT,3000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,CORX00035NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,FOMA00360NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00458NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00494NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00827NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00890NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00013NA,MAT,CKAL,2,SUB OUT,1120,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TAPB00003NA,MAT,CKAL,2,SUB OUT,700,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00051NA,MAT,CKAL,2,SUB OUT,2000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00183NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX02060NA,MAT,CKAL,2,SUB OUT,300,EAD64587804-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00219NA,MAT,CKAL,2,SUB OUT,300,EAD64587804-I
2026-04,30,2026-04-30 00:00:00,,0,EAD65616818-C,WIP,CKTN,2,SUB OUT,500,EAD65616818-I
2026-04,30,2026-04-30 00:00:00,,0,EAD66010222-C,WIP,CKTN,2,SUB OUT,2000,EAD66010222-I
