Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,Mã NVL,Tên hàng,ĐVT,Type,QTY INPUT,Ngày giao hàng,QTY RETURN,Remark
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01106NA,"HOUX01106NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.5x1.36x1 cm, PWAP-05V-WGL1, hàng mới 100%, loại HOUX01106NA",PCE,MAT,2000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01114NA,"HOUX01114NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 3.0x1.1x0.7 cm, PWAP-11V-WGL1, hàng mới 100%, loại HOUX01114NA",PCE,MAT,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01122NA,"HOUX01122NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.92x1.15x1.25 cm, PWBP-03V-WGL1-R, hàng mới 100%, loại HOUX01122NA",PCE,MAT,2000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01123NA,"HOUX01123NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.9x1.3x1.0 cm, PWBP-03V-WGL1-Y, hàng mới 100%, loại HOUX01123NA",PCE,MAT,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01124NA,"HOUX01124NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.9x1.4x1.0 cm, PWBP-04V-WGL1, hàng mới 100%, loại HOUX01124NA",PCE,MAT,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01127NA,"HOUX01127NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.92*1.3*1.06 cm, PWBP-06V-3WGL1-H, hàng mới 100%, loại HOUX01127NA",PCE,MAT,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01128NA,"HOUX01128NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.9x1.5x1.3 cm, PWBP-06V-WGL1, hàng mới 100%, loại HOUX01128NA",PCE,MAT,2000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01130NA,"HOUX01130NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.0x1.3x1.4 cm, PWBP-06V-WGL1-R, hàng mới 100%, loại HOUX01130NA",PCE,MAT,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01132NA,"HOUX01132NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.92x1.15x1.25 cm, PWBP-10V-WGL1, hàng mới 100%, loại HOUX01132NA",PCE,MAT,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01149NA,"HOUX01149NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.92x1.8x0.46 cm, PWCP-03V-3WGL1-H, hàng mới 100%, loại HOUX01149NA",PCE,MAT,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01152NA,"HOUX01152NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.92x1.8x0.46 cm, PWCP-03V-WGL1-R, hàng mới 100%, loại HOUX01152NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01191NA,"HOUX01191NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.5x1.2x1.2 cm, SL-12T, hàng mới 100%, loại HOUX01191NA",PCE,MAT,2000,,,
