Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,HS code,Prod code,Sale code,ĐVT,QTY SALE,Ngày giao hàng,QTY RETURN,Remark
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,958,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,1000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,1000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,2000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD63954790,EAD63954790-I,EAD63954790-I,SET/ Bộ,16,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,3000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD63911358,EAD63911358-I,EAD63911358-I,SET/ Bộ,343,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,6000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD63911348,EAD63911348-I,EAD63911348-I,SET/ Bộ,456,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD64545392V1,EAD64545392-I,EAD64545392-I,SET/ Bộ,495,,,EAD64545392-I1
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD64109903,EAD64109903-T,EAD64109903-T,SET/ Bộ,3000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,400,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD63707539,EAD63707539-T,EAD63707539-T,SET/ Bộ,280,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD63707525,EAD63707525-I,EAD63707525-I,SET/ Bộ,280,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD63707540,EAD63707540-T,EAD63707540-T,SET/ Bộ,560,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD66091501V3,EAD66091501-I,EAD66091501-I,SET/ Bộ,496,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1000,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,2000,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,4000,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD63911348,EAD63911348-I,EAD63911348-I,SET/ Bộ,500,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD64545392V1,EAD64545392-I,EAD64545392-I,SET/ Bộ,500,,,EAD64545392-I1
2026-04,308428266000,2026-04-13 00:00:00,E52,184,6850EC3006X,6850EC3006X-T,6850EC3006X-T,SET/ Bộ,997,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD64169023,EAD64169023-I,EAD64169023-I,SET/ Bộ,500,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD66006019,EAD66006019-I,EAD66006019-I,SET/ Bộ,2000,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,4000,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,996,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,484,,,
2026-04,308428266000,2026-04-13 00:00:00,E52,184,EAD66091501V3,EAD66091501-I,EAD66091501-I,SET/ Bộ,499,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD65895024,EAD65895024-I,EAD65895024-I,SET/ Bộ,1000,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1000,,,
