No.,Type code,Item code,Spec,Unit,Đơn giá TK
145,NVL,GC-HOUX01969NA,",,HOUSING ,2369509-1",EA,635
146,NVL,GC-HOUX02023NA,",,HOUSING,SL-18TF WH",EA,908
147,NVL,GC-SELA00034NA,",,SEAL WIRE,SL-15S3 WH",EA,484
148,NVL,GC-SELA00037NA,",,SEAL WIRE,SL-47S2",EA,762
149,NVL,GC-TAPA00076NA,",,TAPE,19MM BK(19*20)",M,227
150,NVL,GC-TAPB00003NA,",,TAPE ACETATE,ACETATE W19",M,1237
151,NVL,GC-TEBX00011NA,",,TERMINAL BLOCK,MEG65559702",EA,8450
152,NVL,GC-TPAX00004NA,",,TPA ,635317",EA,69
153,NVL,GC-TPAX00079NA,",,TPA ,631165-2",EA,117
154,NVL,GC-TPAX00107NA,",,TPA ,635043-1",EA,214
155,NVL,GC-TPAX00110NA,",,TPA ,635149-1",EA,255
156,NVL,GC-TPAX00133NA,",,TPA,70001HS-02RT",EA,112
157,NVL,GC-TPAX00197NA,",,TPA ,PWBS-02V",EA,127
158,NVL,GC-TPAX00198NA,",,TPA ,PWBS-03V",EA,127
159,NVL,GC-TPAX00202NA,",,TPA ,PWCS-03V",EA,176
160,NVL,GC-TPAX00206NA,",,TPA ,SL-15TPA RD",EA,219
161,NVL,GC-TPAX00209NA,",,TPA ,SL-58TPA",EA,296
162,NVL,GC-TPAX00219NA,",,TPA ,SMH200-10HRT(RE)",EA,250
163,NVL,GC-TPAX00244NA,",,TPA ,SMH600-02DRT(RE)",EA,120
164,NVL,GC-TPAX00246NA,",,TPA ,SMH600-03DRT(RE)",EA,130
165,NVL,GC-TPAX00299NA,",,TPA ,YH500-03CRT(RE)",EA,92
166,NVL,GC-TPAX00345NA,",,TPA ,2369511-1",EA,97
167,NVL,GC-TPAX00367NA,",,TPA ,SL-18TPA RD",EA,382
168,NVL,GC-TPAX00375NA,",,TPA,XMS-07V / PWASX-07V-K",EA,235
169,NVL,GC-TPAX00376NA,",,TPA,XMS-11V / PWASX-11V-K",EA,217
170,NVL,HOUX00015NA,",,HOUSING ,611933",EA,578
171,NVL,HOUX00021NA,",,HOUSING ,614538",EA,470
172,NVL,HOUX00027NA,",,HOUSING,615249",EA,1494
